Id,Type
10001,Cancer
10002,Connective
10003,Immune
10004,Immune
10005,Connective
10006,Connective
10007,Connective
10008,Connective
10009,Connective
10010,Connective
10011,Connective
10012,Connective
10013,Connective
10014,Immune
10015,Connective
10016,Connective
10017,Immune
10018,Immune
10019,Immune
10020,Immune
10021,Connective
10022,Connective
10023,Connective
10024,Immune
10025,Connective
10026,Normal
10027,Connective
10028,Connective
10029,Connective
10030,Connective
10031,Connective
10032,Connective
10033,Connective
10034,Connective
10035,Connective
10036,Connective
10037,Connective
10038,Connective
10039,Connective
10040,Connective
10041,Connective
10042,Connective
10043,Connective
10044,Connective
10045,Connective
10046,Connective
10047,Connective
10048,Connective
10049,Connective
10050,Immune
10051,Connective
10052,Connective
10053,Immune
10054,Immune
10055,Connective
10056,Immune
10057,Connective
10058,Connective
10059,Connective
10060,Connective
10061,Connective
10062,Connective
10063,Connective
10064,Connective
10065,Connective
10066,Immune
10067,Connective
10068,Immune
10069,Immune
10070,Immune
10071,Immune
10072,Immune
10073,Connective
10074,Connective
10075,Connective
10076,Connective
10077,Connective
10078,Connective
10079,Connective
10080,Connective
10081,Connective
10082,Connective
10083,Connective
10084,Connective
10085,Connective
10086,Connective
10087,Connective
10088,Connective
10089,Connective
10090,Connective
10091,Immune
10092,Immune
10093,Connective
10094,Connective
10095,Connective
10096,Connective
10097,Connective
10098,Connective
10099,Connective
10100,Connective
10101,Immune
10102,Connective
10103,Connective
10104,Connective
10105,Connective
10106,Connective
10107,Connective
10108,Connective
10109,Connective
10110,Connective
10111,Connective
10112,Connective
10113,Connective
10114,Connective
10115,Connective
10116,Connective
10117,Immune
10118,Connective
10119,Connective
10120,Connective
10121,Connective
10122,Connective
10123,Connective
10124,Connective
10125,Immune
10126,Connective
10127,Connective
10128,Connective
10129,Connective
10130,Connective
10131,Connective
10132,Connective
10133,Normal
10134,Immune
10135,Connective
10136,Connective
10137,Connective
10138,Immune
10139,Normal
10140,Immune
10141,Normal
10142,Connective
10143,Immune
10144,Immune
10145,Connective
10146,Connective
10147,Normal
10148,Connective
10149,Connective
10150,Connective
10151,Immune
10152,Connective
10153,Connective
10154,Connective
10155,Connective
10156,Connective
10157,Connective
10158,Immune
10159,Connective
10160,Normal
10161,Connective
10162,Connective
10163,Connective
10164,Immune
10165,Connective
10166,Immune
10167,Cancer
10168,Cancer
10169,Immune
10170,Cancer
10171,Cancer
10172,Cancer
10173,Cancer
10174,Cancer
10175,Cancer
10176,Cancer
10177,Cancer
10178,Immune
10179,Cancer
10180,Connective
10181,Immune
10182,Cancer
10183,Cancer
10184,Cancer
10185,Cancer
10186,Cancer
10187,Cancer
10188,Cancer
10189,Immune
10190,Immune
10191,Immune
10192,Cancer
10193,Cancer
10194,Immune
10195,Cancer
10196,Cancer
10197,Cancer
10198,Cancer
10199,Cancer
10200,Cancer
10201,Cancer
10202,Cancer
10203,Immune
10204,Cancer
10205,Cancer
10206,Immune
10207,Cancer
10208,Cancer
10209,Immune
10210,Immune
10211,Cancer
10212,Cancer
10213,Cancer
10214,Cancer
10215,Cancer
10216,Connective
10217,Cancer
10218,Cancer
10219,Cancer
10220,Cancer
10221,Cancer
10222,Immune
10223,Cancer
10224,Cancer
10225,Connective
10226,Cancer
10227,Cancer
10228,Cancer
10229,Connective
10230,Immune
10231,Cancer
10232,Cancer
10233,Cancer
10234,Cancer
10235,Connective
10236,Cancer
10237,Immune
10238,Cancer
10239,Cancer
10240,Cancer
10241,Cancer
10242,Connective
10243,Immune
10244,Immune
10245,Cancer
10246,Cancer
10247,Cancer
10248,Cancer
10249,Cancer
10250,Cancer
10251,Cancer
10252,Cancer
10253,Cancer
10254,Cancer
10255,Cancer
10256,Cancer
10257,Cancer
10258,Cancer
10259,Cancer
10260,Cancer
10261,Cancer
10262,Cancer
10263,Cancer
10264,Cancer
10265,Cancer
10266,Cancer
10267,Cancer
10268,Cancer
10269,Cancer
10270,Cancer
10271,Cancer
10272,Cancer
10273,Cancer
10274,Immune
10275,Cancer
10276,Cancer
10277,Cancer
10278,Cancer
10279,Cancer
10280,Immune
10281,Cancer
10282,Cancer
10283,Cancer
10284,Connective
10285,Cancer
10286,Cancer
10287,Cancer
10288,Cancer
10289,Cancer
10290,Cancer
10291,Connective
10292,Cancer
10293,Cancer
10294,Cancer
10295,Cancer
10296,Connective
10297,Connective
10298,Connective
10299,Cancer
10300,Cancer
10301,Connective
10302,Cancer
10303,Immune
10304,Connective
10305,Immune
10306,Immune
10307,Cancer
10308,Connective
10309,Cancer
10310,Cancer
10311,Cancer
10312,Immune
10313,Connective
10314,Cancer
10315,Immune
10316,Immune
10317,Immune
10318,Cancer
10319,Cancer
10320,Cancer
10321,Cancer
10322,Cancer
10323,Cancer
10324,Cancer
10325,Cancer
10326,Cancer
10327,Cancer
10328,Cancer
10329,Immune
10330,Cancer
10331,Cancer
10332,Cancer
10333,Cancer
10334,Cancer
10335,Cancer
10336,Cancer
10337,Cancer
10338,Cancer
10339,Cancer
10340,Cancer
10341,Cancer
10342,Immune
10343,Immune
10344,Immune
10345,Normal
10346,Normal
10347,Normal
10348,Normal
10349,Normal
10350,Normal
10351,Normal
10352,Normal
10353,Normal
10354,Immune
10355,Cancer
10356,Normal
10357,Cancer
10358,Normal
10359,Connective
10360,Immune
10361,Normal
10362,Cancer
10363,Immune
10364,Normal
10365,Normal
10366,Connective
10367,Immune
10368,Immune
10369,Normal
10370,Normal
10371,Normal
10372,Normal
10373,Normal
10374,Normal
10375,Normal
10376,Normal
10377,Normal
10378,Normal
10379,Normal
10380,Normal
10381,Normal
10382,Normal
10383,Normal
10384,Normal
10385,Normal
10386,Normal
10387,Normal
10388,Normal
10389,Normal
10390,Normal
10391,Cancer
10392,Normal
10393,Normal
10394,Normal
10395,Normal
10396,Normal
10397,Normal
10398,Normal
10399,Normal
10400,Normal
