Id,Type
10001,Connective
10002,Connective
10003,Immune
10004,Immune
10005,Connective
10006,Connective
10007,Connective
10008,Connective
10009,Connective
10010,Connective
10011,Connective
10012,Connective
10013,Connective
10014,Immune
10015,Connective
10016,Connective
10017,Immune
10018,Immune
10019,Immune
10020,Immune
10021,Connective
10022,Connective
10023,Connective
10024,Immune
10025,Connective
10026,Connective
10027,Connective
10028,Immune
10029,Connective
10030,Connective
10031,Connective
10032,Connective
10033,Connective
10034,Connective
10035,Connective
10036,Connective
10037,Connective
10038,Immune
10039,Connective
10040,Connective
10041,Connective
10042,Connective
10043,Connective
10044,Connective
10045,Immune
10046,Immune
10047,Connective
10048,Connective
10049,Connective
10050,Immune
10051,Connective
10052,Connective
10053,Immune
10054,Immune
10055,Connective
10056,Immune
10057,Connective
10058,Connective
10059,Connective
10060,Connective
10061,Connective
10062,Connective
10063,Connective
10064,Connective
10065,Connective
10066,Connective
10067,Connective
10068,Immune
10069,Immune
10070,Connective
10071,Immune
10072,Connective
10073,Connective
10074,Connective
10075,Connective
10076,Connective
10077,Connective
10078,Connective
10079,Connective
10080,Connective
10081,Connective
10082,Connective
10083,Connective
10084,Connective
10085,Connective
10086,Connective
10087,Connective
10088,Connective
10089,Immune
10090,Connective
10091,Connective
10092,Connective
10093,Connective
10094,Connective
10095,Connective
10096,Connective
10097,Connective
10098,Connective
10099,Connective
10100,Connective
10101,Immune
10102,Connective
10103,Connective
10104,Connective
10105,Connective
10106,Connective
10107,Connective
10108,Connective
10109,Connective
10110,Connective
10111,Connective
10112,Connective
10113,Immune
10114,Connective
10115,Connective
10116,Connective
10117,Connective
10118,Connective
10119,Connective
10120,Connective
10121,Connective
10122,Connective
10123,Connective
10124,Connective
10125,Connective
10126,Connective
10127,Connective
10128,Connective
10129,Connective
10130,Connective
10131,Immune
10132,Connective
10133,Connective
10134,Connective
10135,Connective
10136,Connective
10137,Connective
10138,Connective
10139,Connective
10140,Connective
10141,Connective
10142,Immune
10143,Immune
10144,Immune
10145,Connective
10146,Connective
10147,Connective
10148,Connective
10149,Connective
10150,Connective
10151,Connective
10152,Connective
10153,Connective
10154,Connective
10155,Connective
10156,Immune
10157,Connective
10158,Immune
10159,Connective
10160,Connective
10161,Connective
10162,Connective
10163,Connective
10164,Immune
10165,Connective
10166,Connective
10167,Connective
10168,Connective
10169,Immune
10170,Normal
10171,Connective
10172,Immune
10173,Connective
10174,Connective
10175,Connective
10176,Immune
10177,Connective
10178,Immune
10179,Normal
10180,Immune
10181,Immune
10182,Connective
10183,Immune
10184,Connective
10185,Connective
10186,Immune
10187,Normal
10188,Connective
10189,Connective
10190,Immune
10191,Immune
10192,Normal
10193,Connective
10194,Immune
10195,Immune
10196,Connective
10197,Immune
10198,Immune
10199,Normal
10200,Connective
10201,Connective
10202,Connective
10203,Immune
10204,Immune
10205,Connective
10206,Immune
10207,Connective
10208,Connective
10209,Immune
10210,Immune
10211,Connective
10212,Connective
10213,Connective
10214,Immune
10215,Connective
10216,Connective
10217,Immune
10218,Connective
10219,Connective
10220,Connective
10221,Connective
10222,Immune
10223,Connective
10224,Immune
10225,Connective
10226,Normal
10227,Immune
10228,Connective
10229,Immune
10230,Connective
10231,Normal
10232,Connective
10233,Connective
10234,Connective
10235,Connective
10236,Connective
10237,Immune
10238,Connective
10239,Connective
10240,Connective
10241,Connective
10242,Connective
10243,Immune
10244,Immune
10245,Immune
10246,Connective
10247,Connective
10248,Connective
10249,Connective
10250,Connective
10251,Connective
10252,Connective
10253,Connective
10254,Connective
10255,Connective
10256,Connective
10257,Connective
10258,Connective
10259,Connective
10260,Connective
10261,Connective
10262,Connective
10263,Connective
10264,Connective
10265,Connective
10266,Connective
10267,Connective
10268,Immune
10269,Connective
10270,Connective
10271,Connective
10272,Normal
10273,Connective
10274,Immune
10275,Connective
10276,Normal
10277,Connective
10278,Connective
10279,Connective
10280,Immune
10281,Connective
10282,Connective
10283,Normal
10284,Connective
10285,Connective
10286,Connective
10287,Connective
10288,Connective
10289,Normal
10290,Connective
10291,Immune
10292,Connective
10293,Connective
10294,Connective
10295,Connective
10296,Connective
10297,Connective
10298,Connective
10299,Connective
10300,Connective
10301,Connective
10302,Normal
10303,Immune
10304,Connective
10305,Immune
10306,Immune
10307,Connective
10308,Connective
10309,Immune
10310,Normal
10311,Connective
10312,Immune
10313,Connective
10314,Immune
10315,Immune
10316,Immune
10317,Immune
10318,Normal
10319,Connective
10320,Normal
10321,Connective
10322,Normal
10323,Normal
10324,Connective
10325,Normal
10326,Connective
10327,Connective
10328,Connective
10329,Immune
10330,Connective
10331,Connective
10332,Connective
10333,Connective
10334,Connective
10335,Normal
10336,Normal
10337,Normal
10338,Cancer
10339,Normal
10340,Connective
10341,Normal
10342,Immune
10343,Immune
10344,Immune
10345,Normal
10346,Normal
10347,Immune
10348,Connective
10349,Connective
10350,Connective
10351,Immune
10352,Connective
10353,Immune
10354,Immune
10355,Connective
10356,Connective
10357,Normal
10358,Immune
10359,Immune
10360,Immune
10361,Connective
10362,Connective
10363,Immune
10364,Immune
10365,Connective
10366,Connective
10367,Immune
10368,Immune
10369,Normal
10370,Normal
10371,Normal
10372,Immune
10373,Normal
10374,Normal
10375,Immune
10376,Immune
10377,Connective
10378,Connective
10379,Connective
10380,Connective
10381,Connective
10382,Immune
10383,Connective
10384,Connective
10385,Immune
10386,Connective
10387,Connective
10388,Connective
10389,Connective
10390,Normal
10391,Connective
10392,Connective
10393,Connective
10394,Connective
10395,Connective
10396,Normal
10397,Connective
10398,Connective
10399,Connective
10400,Connective
